Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q1,Q7,Q21_First Click,Q21_Last Click,Q21_Page Submit,Q21_Click Count,Q22,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_13,Q9_14,Q9_15,Q10,Q11,Q12,Q13,Q14,Q15_1,Q16,Q17,Q18,Q19
1241,1,2/27/14 3:05,R_4Mivcc2mNAUZ4QR,,,,,,,2,"The Syria's government is an criminal government because they have been killing there own people for more then three years. They also used chemical weapons and that was so unbelievable. I cannot imagine that why all governments and the Security Council did not do anything to safe people lives in Syria. About The United States' reaction, I do not know why A superpower country did not do anything until now. The United States government should not make an investigation because everyone know and see how people get killed and raped everyday. As an superpower country should take a quick action. ",100.824,860.63,861.223,56,9,2,3,4,1,2,2,2,4,6,6,4,3,6,1,5,4,3,4,2,5,5,1,4,3,2,4,6,4,1,4,1,24,7,3,Islamic ,8,Business Administration ,3,4,1
436,1,2/27/14 18:50,R_3PJVJK1YVIsOdJH,,,,,,,2,Syria's use of chemical weapons is very scary for many reasons but ultimately because they could possibly have powerful bombs nuclear technology. The united States reaction was obviously a position of chaos.,3.548,146.02,194.807,3,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,22,1,3,muslim,2,Business,6,5,1
212,1,2/28/14 11:54,R_bOqJQz3KX6Xnk3P,,,,,,,2,I dont think that Syria should be able to use chemical weapons.,2.771,17.845,40.99,3,7,4,3,3,2,4,5,2,4,3,5,4,2,3,5,3,3,1,3,4,3,2,3,2,4,3,2,5,3,2,4,1,18,1,1,christian,5,construction management,1,3,2
279,1,2/28/14 15:48,R_bCKCQyuMYSmaIKh,,,,,,,2,"My reaction and the US's reaction are about the same.  I dont think it would be a good idea to let Syria use chemical weapons.  If they do, the US will have to respond with something bigger and better and I am almost positive that Syria would regret using chemical weapons.",1.309,1.309,104.086,1,7,2,3,2,2,3,4,2,1,5,4,3,2,6,3,2,4,3,2,3,2,4,2,2,2,3,3,2,2,3,4,1,18,1,1,Christian,4,Construction management,2,5,2
543,1,3/1/14 11:56,R_2rZu8mkwzx9LXr7,,,,,,,2,"Syria's use of chemical weapons is causing problems for the United States. Despite what we think should happen, Syrians are using the weapons for other things. Syria should not be using the weapons how they are and we are helping them.",12.383,12.383,142.954,1,1,4,4,5,5,4,4,6,4,6,5,5,5,3,3,3,6,6,4,5,4,6,6,5,5,6,5,6,4,5,6,2,19,1,1,Christian,5,Dietetics,3,4,1
574,1,3/1/14 18:26,R_cOtgXPy8piIhOSx,,,,,,,2,,3.197,3.197,7.336,1,6,4,3,4,3,4,4,2,3,2,3,4,5,5,5,4,4,5,5,5,6,3,5,5,2,6,5,4,5,5,5,2,18,1,1,Christian,4,Nursing,3,7,2
329,0,3/2/14 19:11,R_006BvXCNCZFVxLD,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,1,3/2/14 21:03,R_eYaDTRafTbrGpY9,,,,,,,2,"I think that Syria's use of chemical weapons should be stopped, and that it is very dangerous for surrounding countries. I feel like the United States could definitely be more aggressive, and needs to step up and show how strong we truly are.",53.641,53.641,246.781,1,9,5,5,5,5,5,5,5,4,4,4,4,5,6,6,6,6,4,4,4,5,1,5,4,5,5,5,6,5,5,5,1,18,1,1,Catholic,2,Cell and Molecular Biology,8,7,1
481,1,3/3/14 15:23,R_4T8IzS5SDRwG4m1,,,,,,,2,the use of chemical weapons in syria is very wrong in my eyes. War alone is a pointless thing. and sometimes i feel like we shouldnt be the nice guy and try to help but somebody has too. i mean these are innocent people here being injured and killed an what if those weapons find their way over here into the U.S.? it would be chaos! and having to worry about KEEPING YOUR FAMILY SAFE FROM HARM AND WORRYING ABOUT  STUPID BOMB GOING OFF.  I believe we made the right choice to intervene. We reacted fairly and responsibly.,5.41,5.41,161.075,1,6,5,5,5,5,5,5,5,5,5,5,5,3,3,4,6,5,1,4,5,5,3,6,6,6,6,5,4,4,5,4,1,21,1,3,catholic,7,HRA,3,5,1
816,1,3/3/14 21:30,R_6EiBWDWdCB53qKh,,,,,,,2,"I believe that Syria should not be using chemical weapons, but especially not on its own people. If the US is going to respond, which it should if it feels it is necessary, it is important for them to try to make sure they are only attacking the people using the chemical weapons. It wouldn't be fair to the innocent people of Syria if they were attacked and possibly killed by the US who is trying to help them from being attacked by the Assad regime. In this case, the US should only attack places where the Assad regime is based and not into Syria's main cities. If the US decides not to use isolated attacks, but feels a ""red line"" has been crossed, they should instead try to talk to the Syrian regime to decrease their use of chemical weapons.",1.435,316.737,335.069,8,6,5,5,4,4,5,5,2,3,4,5,3,5,4,3,5,5,2,6,5,5,2,5,4,5,5,4,5,3,4,4,1,19,1,1,Catholic,4,Undecided,2,6,1
306,1,3/5/14 13:21,R_42zlBLg0sXvIT4N,,,,,,,2,"I don't think they should be able to have chemical weapons, I don't think the US should ever trust them either.",9.5,9.5,80.503,1,9,4,6,5,5,3,5,6,3,5,4,3,6,4,1,3,4,3,4,5,4,3,4,5,4,6,5,4,3,4,4,1,18,2,1,Christian,5,Business,1,1,2
590,1,3/5/14 17:35,R_251KM10LW5a9Xvf,,,,,,,2,"Syria's use of chemical weapons caused the United States overreact drastically. According to the most powerful countries in the world, or the UN does not agree with something then they will destroy the country. If United States ever used chemical weapons nobody would say a word, just like when United States dropped a nuke on Japan twice. When the US does it, no big deal, but when another country, small or not, does it then as a country the U.S. must educate these people on the correct way to fight, survive and live, when in the end the U.S. is the hypocrite in the situation.  ",1.427,1.427,207.348,1,1,4,5,4,6,6,3,4,3,2,1,1,3,2,2,1,5,6,6,6,6,1,4,6,3,6,1,6,1,1,1,1,19,1,1,Christian,5,Anthropology,8,10,1
740,1,3/5/14 18:53,R_9HUjuTXRv60zIcR,,,,,,,2,Syria using chemical weapons against their own people is something that needs to be stopped for the greater good of the people. United States's response can be seen as a sign of compassion or a sign of selfishness. It is compassionate of the United States to do such an act of kindness for another country without any possible gain. At the same time its selfish because will a country attack another country and waste resources for no possible gain. That is the question that will differ among the American population and will reflect their personal beliefs.,1.997,89.903,314.828,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,19,1,1,Christian,5,Undecided,8,10,1
427,1,3/5/14 19:02,R_8u0oc3lbAULPyjX,,,,,,,2,"Syria's use of chemical weapons brings up a lot of questions on what really is happening. United States act towards Syria can be seen as admirable or an act of selfishness. Either way the way a person looks at the situation they will view this whole situation differently, there probably will not be a full agreement on his topic because of the diversity in the world.",1.33,1.33,310.811,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,19,1,1,Christian,5,Undecided,7,10,1
694,1,3/5/14 21:26,R_2orZFirOBkTJkcR,,,,,,,2,"I am going to start with the United States' reaction. Honestly it seems that we are policing the world. Which I feel that we need to do because if we don't then everyone else gets mad at us. I guess Syria should not use chemical weapons because that is bad. But, I am not a world leader so I can not really say what is right or not. The United States did drop two atomic bombs so can we really judge others.",22.927,22.927,301.63,1,4,3,4,4,5,3,5,2,2,2,1,1,4,5,3,1,4,4,1,4,3,2,5,5,4,6,1,5,2,3,2,1,22,1,4,None,5,Education,1,1,1
607,1,3/9/14 22:12,R_9KU40TKxkAIeFSJ,,,,,,,2,"I understand the United States' reaction, but I feel like they could have avoided the conflict. If they would've intervened earlier to help Syria, then maybe the violence wouldn't have led to chemical warfare. I, along with the other 98%, do not believe chemical warfare should ever be used. I am glad that the United States did finally step in to help. No one should ever allow chemical warfare to proceed. I'm glad I live in a country where that is disgraced, but I still feel horrible that innocent families were gassed. It's a situation nobody wants to be in, and I just wish we could have prevented that outcome. ",3.752,111.943,212.64,7,7,5,4,5,4,4,6,5,4,4,2,2,6,4,4,1,5,6,4,5,4,3,5,6,5,6,1,5,4,4,2,2,20,1,2,Catholic,5,Wildlife Biology,1,1,1
615,1,3/9/14 23:05,R_5hjtRhPD48NjDHT,,,,,,,2,"I'm not entirely sure how I feel about this issue just by reading this story. I think it's important to help our allies, but at the same time I am concerned about the safety of America. If we interfere with countries that use nuclear weapons, who's to say they won't use those nuclear weapons on us? I think that this article was very one sided and only showed Republican sides of the conflict. I wish I could have seen different sides of the conflict or more reasons why we would benefit from deploying military troops besides helping our allies.",6.278,6.278,247.31,1,4,4,3,5,5,5,5,4,3,3,3,4,4,5,4,5,5,5,5,4,4,3,5,6,4,6,6,2,6,6,4,2,20,1,3,Non-denominational/Church of Christ,5,Vocal Music Education,4,3,1
653,1,3/12/14 15:43,R_brSSQWBSS87esCh,,,,,,,2,"I feel that the use of chemical weapons in Syria is very tragic, especially seeing the people that were affect by the use of the weapons. I feel the United States' could have reacted a little more swiftly. I feel that the United States really took any action towards the use of chemical weapons. I also think the media may have over sensationalized the information to make the situation seem worse than it was. ",12.972,12.972,229.2,1,7,5,5,5,6,4,6,5,4,4,5,4,5,4,4,4,5,5,3,5,4,4,4,3,4,5,4,5,2,4,3,2,19,1,1,Christian,3,Early Childhood Education,4,4,1
615,1,3/12/14 16:14,R_cC2bB177ZktHfSJ,,,,,,,2,"Syria's use of chemical weapons have had disastrous effects since 1,000 people have been killed.  I think their use of chemical weapons have a high-potential for fatal out come in using these types of weapons.  The United States' reaction was not over exaggerated or anything. I found it fair that they blamed the president of Syria for the cause, just as any leader of a nation is blamed for the actions of his country.  ",6.23,27.261,159.472,3,5,4,3,5,5,6,6,3,3,4,4,2,6,5,3,6,5,4,4,6,6,1,4,3,5,6,2,6,5,5,3,2,18,1,2,Christian,2,Pre-Nursing,4,7,1
771,1,3/12/14 18:47,R_2nJcUT2xWJ3pEs5,,,,,,,2,I think it is wrong for the President of Syria to use chemical warfare against him own people. It is not showing that he is a trustworthy leader or even deserving to be a leader. I think the U.S. should action and help the people of Syria. It would be morally write for the U.S to take a leadership role.,5.374,5.374,257.349,1,7,4,5,5,5,4,5,5,4,4,4,4,4,5,4,5,4,4,5,5,4,5,6,4,5,6,4,4,4,4,5,2,18,1,1,catholic,1,elementary education,5,7,2
344,1,3/13/14 16:29,R_bQRXKSS7xSdFj9P,,,,,,,2,I think it is wrong for the President of Syria to use chemical warfare against his own people. He is not showing that he is a trustworthy leader or even deserves to be president. The US should take action against the use of chemical weapons because it is harming the people of Syria. It would be a morally right thing to do.,6.376,6.376,81.856,1,7,4,3,4,4,4,4,3,3,4,3,4,4,4,4,5,4,5,4,4,4,4,6,3,4,4,4,3,4,4,3,2,18,1,1,Catholic,1,Elementary education,5,6,2
663,1,3/16/14 21:23,R_6Xdp5uJyiSG84Fn,,,,,,,2,"I believe that the United States has the right to step in and stop what is happening in Syria. According to the United Nations, using chemical warfare is unethical especially again innocent people and children. Although other countries in the United Nations do not want to risk another World War, something must be done to stop the Syrian president. It is completely unethical and it is ridiculous that so many people and nations disagree with the use of chemical warfare on innocent people but will not do anything to stop it. The United States and other nations have every right to intervene. ",1.089,1.089,174.262,1,9,4,5,5,4,5,6,5,6,6,3,6,5,3,4,6,5,3,1,6,6,4,3,2,2,2,6,5,5,4,3,1,19,1,1,Christian,2,Business Entrepreneurship ,7,7,1
198,1,3/17/14 18:59,R_eFDrNT0qlxgG35z,,,,,,,2,I fell like its wrong to use chemical weapons  not only is it danger to the united states but its really danger to themselves ,9.912,82.686,84.288,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,6,6,6,4,6,4,4,4,4,6,4,5,6,2,18,2,1,christan,1,nursing,1,1,1
436,1,3/18/14 13:26,R_4PJOCJsoIgbDqyp,,,,,,,2,"I think that Syria should not have used chemical warfare because it is unethical and should not be used as a way to punish innocent people. I also think that the United States should not have gotten involved with Syria though. The United States has it's own problems, such as the national debt and terrorist groups against the United States as a whole. The United States should consider that the people inside our borders are more important than the people outside our borders.",7.989,7.989,164.326,1,2,5,6,4,4,2,6,5,4,5,6,5,2,6,2,6,5,1,1,4,3,1,6,6,5,6,6,6,2,4,6,1,19,1,1,Christian,1,Nursing,9,10,1
312,1,3/18/14 14:08,R_cC1gfvYnvsbfagR,,,,,,,2,I think that Chemical weapons in Syria so not be allowed because they are way to dangerous and they do not need to use them but they are and the US does not like that and I am on the side with the US because they should not be able to use those weapons because they can kill way to many people at once and the US does not think that is the right thing to use but Syria still makes these weapons so that is why US is thinking about going to war with them.,3.324,3.324,179.227,1,9,6,6,4,3,4,5,4,5,4,2,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,1,18,1,1,Catholic,1,Sports Management,3,1,1
960,1,3/18/14 16:57,R_ah2gfQhrsFespCZ,,,,,,,2,It has been a conflict for years. In fact now that I think about it since I have been alive I have not seen a world without war. Though I see that there are a lot of issues making this a sticky situation for the u.s.    ,6.77,361.882,513.062,9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,4,4,3,5,5,5,3,5,4,6,1,21,7,3,catholic ,1,art ,4,7,1
1074,1,3/19/14 21:04,R_erO47VqQeK36bdz,,,,,,,2,"Although the thought of of using chemical weapons on people sounds awful, i dont think it is our place to do something about it. Secondly in this day in time its hard to believe a single word that comes from the news or government. Everything has an alternative agenda. There seems to be a lot of awful things going on all around the world so why aim all of our efforts toward this one problem which we all know will end up causing more problem here in the United States. It sounds to me that the Syrian people need to take more action against this problem.",66.233,572.112,586.682,3,4,5,4,5,6,5,4,2,3,5,2,2,1,2,2,3,4,6,1,2,5,5,1,2,5,4,2,4,2,2,4,1,23,1,1,everyone is religious,5,criminal justice,1,10,1
126,1,3/23/14 16:37,R_8G4q2blD8RJL5Vr,,,,,,,2,"I think it was pretty messed up that they used chemical weapons, they really mess people up a lot",2.264,2.264,25.783,1,5,3,3,4,4,5,3,4,4,3,4,4,5,3,4,5,3,3,5,3,5,4,3,3,5,4,3,2,3,5,4,1,19,4,1,none,4,Logistics,4,3,2
928,1,3/23/14 18:17,R_2hrnLJSzTNt8TQh,,,,,,,2,"It is wrong for any government to use chemical weapons of any kind on enemies and even worse on its own people. It is a way of using force to make people do what you want my fear and punishment. This is no way to dictate your people or get them to change their ideals good, bad or indifferent.  As far as USA involvement, I feel we try to get involved in too many other countries affairs for the sake of international freedom. Part of me feels we should let them work it out, but the other part of me feels that if forces like that gain to much momentum it will eventually give them the power to use on other countries as well. So best to get involved in the beginning and help stop it so it doesn't snowball. ",2.961,2.961,392.542,1,9,5,6,6,5,6,6,2,2,2,2,2,5,6,6,6,5,6,1,4,5,1,6,1,2,6,4,6,6,6,6,2,42,1,1,Luthern,1,Risk Management & insurance,10,10,1
200,1,3/24/14 15:20,R_eLheFiZJyD5clo1,,,,,,,2,,0,0,7.385,0,5,3,3,2,2,2,2,3,2,2,3,2,2,3,3,2,3,2,2,2,2,3,2,2,3,2,2,3,2,3,2,2,19,1,1,Non-denominational,3,Business,3,7,1
1283,1,3/24/14 22:20,R_6xvGUlyCPCZbDxz,,,,,,,2,"There is proof that chemical weapons were used in Syria, but questions of who actually used the chemical weapons in Syrian should be question. It could be the rebels that have ties to Al Qaeda or the government, but who really know. The United States should have a non-interventionist stance because we do not have the answers or maybe the truth on this issue. ",5.048,317.41,438.591,7,1,4,5,5,6,3,5,5,4,3,5,4,5,5,5,6,6,5,5,6,5,3,5,6,3,5,4,6,5,6,6,1,20,1,1,Christian,4,Accounting,6,9,1
525,1,3/25/14 11:24,R_6FotO2528D5bibH,,,,,,,2,"Syria's use of chemical weapons to me personally, should not be legal. I think these weapons should be banned from the use of their government or military/army. When a weapon is hurting thousands of lives of innocent people is the outcome and/or use of the weapon positive? It states other countries do not even allow the use of these weapons in their own areas so it surprises me that it is allowed here. I do not know how capable, we as a nation (U.S.), are allowed to intervene with the rules and regulations Syria allows but if we are protecting lives while intervening, then I think it is okay to act against the use of these chemical weapons.",10.607,13.062,233.736,2,7,5,4,6,6,6,6,5,5,5,5,5,6,6,6,5,5,5,6,6,5,5,6,5,1,5,2,5,6,6,6,2,19,1,1,Christian,4,Nursing,8,6,1
906,1,3/25/14 13:52,R_0CbCXOX7LPxwgBf,,,,,,,2,"In no way is the Syrian use of chemical weapons acceptable in any fashion. Chemical weapons are devastating tools and to be used against one's own people is a terrible thing to do. Chemical weapons not only do devastating initial damage but can have lasting affects on the area. The United States is right that something should be done to stop continued use of Chemical weapons in Syria; however, before intervention occurs a set plan of action should be created as to limit time in Syria as well as unnecessary casualties and more. If the United States confides with their allies and agree on intervening in Syria for a removal of the President or some other solution I believe it would be an acceptable choice.",7.272,161.369,258.106,4,9,4,3,5,4,3,5,4,5,5,4,2,5,5,4,3,4,3,3,5,5,1,5,4,2,4,4,4,6,4,4,1,18,1,1,Lutheran,1,undeclared,5,8,1
702,1,3/26/14 13:49,R_brbpRYOTYPUUcpn,,,,,,,2,"Honestly, I believe that it is none of our business what Assad's regime was doing. Yes, we need to help in a humanitarian way and not ignore innocent citizens being hurt and in need of basic things. But it is not our job, as the United States of America, to bomb Syria or try and take down their government. They are their own country, and i don't believe we had enough proof or reason to react in a violent way. I think the comments made by McCain and Bush are unimportant. They are usually advised on what to say about issues in the world so I honestly don't care what they have to say. We need to back off the Middle East and if people want to destroy their own country, whatever. We should do as much as we can through non profit organizations and etc to help the citizens of that country but that's really it. ",6.535,6.535,283.454,1,5,3,5,5,3,4,6,2,3,3,3,2,5,1,2,1,6,2,3,5,4,1,3,2,1,6,5,5,2,3,3,2,21,1,3,Jesus follower ,6,Religious studies,8,9,1
1056,1,3/26/14 19:23,R_d0WXaEqH8QuRAuF,,,,,,,2,"I think this use of chemical weapons is horrific.  Using the weapons on its own people is inhuman.  I understand that war is war, but you should not release a weapon upon your own people.  I am unsure as to how the US should react.  I think sending our troops to deal with the problem would help condense the situation, but we also dont know what else Syria is capable of.  They could release the same weapon on us of worse.  Its a hard situation to be placed in.  No matter what the US does we will be judged.  If we send troops we will get complaints about too many troops in battle and in danger.  If we dont send troops and something happens to US citizens, there will be complaints about sitting back and doing nothing.  ",2.488,2.488,401.06,1,6,6,5,5,5,5,5,2,2,3,3,3,4,4,4,3,5,5,5,5,4,2,4,2,2,3,3,4,4,4,4,2,19,1,1,Catholic ,5,Elementary Education,3,3,1
484,1,3/28/14 10:00,R_d0V6xbGUpDXPG0l,,,,,,,2,"I am personally disturbed by Syria's actions on their citizens. An attack on a countries citizens is never acceptable. That being said, I don't feel like I know enough information about the situation to judge the government's action. Like all things, there are always two side to a conflict, and the information given in the previous page is only that of one side, which is the negative effects.",3.2,3.2,183.798,1,6,6,5,6,4,6,6,2,2,3,1,2,4,4,5,1,5,3,6,4,4,6,2,2,2,3,2,3,3,2,4,1,18,1,1,Agnostic,7,Undecided,5,8,1
1304,1,3/29/14 16:50,R_cZPYx6tWpPpTnBH,,,,,,,2,"i feel really bad and what happened to them was not fair,  because who died.  ",37.519,37.519,108.016,1,4,4,3,3,5,5,2,2,4,4,2,6,4,4,4,3,3,5,5,4,4,2,2,3,3,3,5,3,3,4,4,1,24,7,2,Muslim,4,Busness,3,2,2
222,1,3/30/14 18:11,R_aYkZ9JoE41ojfSt,,,,,,,2,,2.963,2.963,4.217,1,4,5,4,5,5,5,6,4,3,4,4,4,4,3,2,3,5,4,4,5,5,4,5,4,4,4,5,4,4,4,1,2,19,1,1,Christian ,3,Nursing,3,6,1
542,1,3/30/14 22:34,R_4127jL7v8roUhgN,,,,,,,2,"From what I could tell of the article, it seems that no actions have been made yet. I think Obama wanted to attack Syria and someone under him said they didn't want to. Bush supported attacking Syria and so did his defense person. I think that we should stay out of worldly matters and focus on the problems we face in our own country. ",6.235,6.235,149.85,1,3,5,5,5,4,5,4,3,3,3,4,3,5,5,5,6,6,6,3,4,3,2,3,5,2,6,6,4,5,4,4,2,18,1,1,Christian,5,Undecided,1,1,2
213,1,3/31/14 12:06,R_8ldtVkpKWRKnwDX,,,,,,,2,My main reaction is surprise. This is a horrible thing. ,8.64,8.64,59.04,1,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,18,1,1,southern baptist,3,Fashion Merchandising and Business,4,4,2
1350,1,3/31/14 14:07,R_dd5XrhhTR4kYfGJ,,,,,,,2,"Saddening to see a country use weapons on its own people, especially innocent children.  I like how both republicans and democrats both agree with each other on how terrible the acts are.  I even like how the Pope chimed in saying he condemns chemical weapons.Countries should follow the ""international laws"" and if they don't other countries should step in to fix whatever problem there is.",5.503,5.503,417.059,1,7,3,5,5,6,5,6,2,2,2,4,2,5,5,4,1,3,5,2,6,5,1,1,4,1,3,4,5,5,4,5,1,20,2,2,Catholic,5,Criminology/Criminal Justice,1,1,1
419,1,3/31/14 16:34,R_3fbeBAKQt8Vu4OF,,,,,,,2,"I think that Syria's use of chemical weapons is terrible. I always thought that the world kind of had a mutual agreement that chemical warfare would not happen because it is to brutal to die from chemicals. I am not sure why I thought that but it was always what I thought. Them using chemical weapons shows that there are no rules whatsoever. They will do anything they want to get what they want, no matter to consequences. I am with the United States to react with using chemical weapons as well. It is only fair.",7.405,147.989,179.81,3,9,6,6,6,5,3,4,5,5,4,6,5,4,5,4,4,6,5,4,5,4,6,6,4,5,6,5,4,3,5,6,1,19,1,1,Undecided,5,Accountign,1,1,2
265,1,3/31/14 21:48,R_8As3uRRmGnQ48yp,,,,,,,2,Syria shouldn't be able to use chemical weapons and the United States made a good reaction. I would've dealt with this situation the same way. Syria shouldn't be using chemical weapons towards others. ,3.025,71.579,138.348,4,5,3,4,3,4,2,3,4,3,4,3,4,4,3,4,4,3,4,4,4,3,4,4,4,5,4,4,4,3,4,4,2,18,1,1,catholic,5,Elementary Education,4,4,2
103,1,3/31/14 21:51,R_8GNCEJmQ442hWtL,,,,,,,2,I agree with the action taken by the United States. Syria has no reason for attack and is just causing problems. ,1.278,2.26,28.539,2,4,3,4,3,4,3,5,4,4,5,4,3,4,4,5,4,4,3,4,3,3,3,4,3,4,5,4,3,4,4,4,2,18,1,1,Catholic,4,,4,4,2
1025,1,4/1/14 15:25,R_6kQW0q3Fhpe8sqV,,,,,,,2,"I agree with Obama's reaction to Syria's use of chemical weapons. I think that the US should have done more about it because so many innocent people were killed, and killed by a weapon that is so dangerous and that many people agree should not be used. Even during war, chemical weapons should not be used because they are so dangerous and can cause much more harm than they were meant to. I also agree with Obama that when no action was taken, that it sends the message to others that our international norms don't matter to us. More action should have been taken to solve this solution and to protect the US and our government and security.",4.641,4.641,449.103,1,2,5,3,5,6,6,6,5,5,4,3,3,3,2,2,3,5,1,5,6,4,4,5,5,3,6,3,5,2,4,2,2,19,1,1,Christian,5,Nursing,2,2,1
761,1,4/1/14 20:17,R_0xLS4PX26sjhCJf,,,,,,,2,Syria's use of chemical weapons was very dangerous. It had harmed and killed many civilians and hundreds of children. I feel that there is no control over Syria and their actions. Obama believes that Syria's government carried out this plan to use rockets and to arm their own population and thinks there should be an international  consequence. Many weren't aware as to what was happening after the heard explosions and saw gas taking over. There needs to be a lot of more protection over in Syria and someone needs to take charge has to punish the people who were involved.,7.023,468.32,496.483,6,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,6,6,6,6,2,3,6,6,6,4,3,5,5,3,2,19,4,1,Buddhist,5,Undecided,2,1,1
505,1,4/1/14 20:32,R_0lbbQlboqrOiopn,,,,,,,2,"I feel that they should not be able to use those weapons as they are already banned from being used in war and to take many innocent peoples life's including children through gas is not okay. It would be a much worse death to go out with gas than a normal weapon, as bad as that sounds. Chemical weapons should be banned and the United States should help enforce that in Syria so people don't think its okay and then end up bringing these chemical weapons to the United States and putting the average US civilian in danger. Obama's reaction I personally think is good as he is explaining how if we let them use chemical weapons to kill thousands of innocent people we are saying its okay to go against the norm and these weapons will end up in the wrong hands such as terrorist and then start effecting the United States negatively. ",5.472,5.472,208.528,1,7,5,5,5,6,5,6,6,6,5,4,4,5,6,3,3,5,3,5,6,6,5,5,6,5,5,4,5,3,5,5,1,19,1,2,catholic,4,business,4,4,1
633,1,4/1/14 21:08,R_9mF9mtEkelvdevj,,,,,,,2,"I think that some kind of defense should be taken against Syria. It is wrong to use chemical weapons on their people. However, I do not think that it is the United State responsibility to start some kind of war against Syria. War does not always solve issues. Going to war with Syria will probably result in many deaths. The United States does not always have to be the one to step in and try and solve the entire world's problems. I think that going to war with Syria because of their use of chemical weapons will not result in a happy win for America. The United States is already in debt to who knows how many other countries and with this act from Syria, it will just put the United States in an even deeper hole.  ",8.337,140.252,267.716,4,3,6,5,5,4,5,5,6,6,6,5,4,4,4,4,5,5,6,4,6,5,3,5,3,4,6,6,6,5,6,5,2,18,1,1,Christian,5,Business,3,5,1
617,1,4/1/14 21:20,R_cIUv4GNwrpz5dGJ,,,,,,,2,"I feel that the United States' has a good idea about Syria's use of chemical weapons. They say we need to put an end to the use of it, I agree fully with their reaction. In the long run it can cause the US to be the target of a war. If we out an end to it now, there will be less of a chance to this. Syria needs to stop making chemical weapons.",4.4,5.637,140.61,2,6,4,3,2,3,4,3,2,4,4,5,3,5,2,3,2,4,4,2,5,4,4,5,6,5,6,3,5,3,4,3,2,20,1,2,agnostic,7,Wildlife Conservation and Management,3,2,1
112,1,4/2/14 11:08,R_79t6xEMevnnOEZf,,,,,,,2,,1.665,4.071,4.833,2,1,4,2,4,5,3,4,4,5,2,4,2,5,4,3,4,3,4,4,2,4,3,4,2,4,3,3,4,3,3,4,1,19,1,1,catholic,8,CMB,5,6,1
358,1,4/2/14 12:17,R_2hoyYQwbmirscip,,,,,,,2,I was very upset when I read this about Syria's and the use of their chemical weapons. It is a threat to the United States and could be very dangerous if they use those weapons against the United States. United States reaction was to strike before Syria would strike them. Either way it is very dangerous to be fighting with the use of chemical weapons being available.,32.587,36.639,230.913,2,9,3,3,2,3,3,2,2,3,2,2,2,3,3,2,2,2,2,2,2,3,3,3,2,2,2,2,3,2,3,3,1,19,1,1,christain,2,business,1,1,2
3660,1,4/2/14 15:34,R_bJ8PcHtXp1eMunH,,,,,,,2,"Syria's use of chemical weapons has completely stepped over the international line. It killed around 3,000 people, including innocent women and children. The fact that there are rules against using these nuclear weapons should bring about a response from someone, and the United States stepped up. I believe that the United States is correct in saying that we can't just let that go on. Not only is it effecting innocent poeple, it is threatening our allies in the area. If a country of our status reacts to this situation, it will cause other nations to step in also.",5.675,520.092,610.113,5,8,5,5,6,5,5,6,2,4,5,5,2,6,6,3,5,6,6,5,5,6,1,6,5,5,6,5,5,3,3,4,1,19,1,1,Methodist,8,Business Administration,7,8,1
719,1,4/2/14 18:43,R_6YhaIgmKe1vs8vz,,,,,,,2,The United States should stay out of the affairs of other country's internal affairs. To bring up that Syria had questionable intentions during the Iraq war and use it as justification for military intervention in a completely unrelated event is petty and juvenile.   ,0.741,0.741,372.33,1,1,6,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,1,4,Atheist,,Finance,6,10,2
789,1,4/2/14 20:49,R_6qZ3BIQkLS9s2XP,,,,,,,2,"I believe that Syria's use of chemical weapons on innocent civilians is wrong, obviously. I think that we, the US, should intervene and eliminate the threat of the use of chemical warfare that could harm innocents, not just US citizens but all innocent people.",5.393,5.393,145.498,1,9,3,3,2,2,2,2,1,1,1,1,1,2,2,2,1,6,4,3,6,6,6,5,6,5,6,3,6,6,1,3,1,19,1,1,Agnostic,5,Music Education - Instrumental,1,1,1
